timestamp, value
12:58:55, 0.4
12:58:56, 0.4
12:58:57, 0.4
12:58:58, 0.4
12:58:59, 0.4
12:59:00, 0.4
12:59:01, 0.4
12:59:02, 0.4
12:59:03, 0.5
12:59:04, 0.5
12:59:05, 0.5
12:59:06, 0.5
12:59:07, 0.5
12:59:08, 0.5
12:59:09, 0.5
12:59:10, 0.5
12:59:11, 0.5
12:59:12, 0.5
12:59:13, 0.5
12:59:14, 0.5
12:59:15, 0.5
12:59:16, 0.5
12:59:17, 0.5
12:59:18, 0.5
12:59:19, 0.5
12:59:20, 0.5
12:59:21, 0.5
12:59:22, 0.5
12:59:23, 0.5
12:59:24, 0.5
12:59:25, 0.5
12:59:26, 0.5
12:59:27, 0.5
12:59:28, 0.5
12:59:29, 0.5
12:59:30, 0.5
12:59:31, 0.5
12:59:32, 0.5
12:59:33, 0.5
12:59:34, 0.5
12:59:35, 0.5
12:59:36, 0.5
12:59:37, 0.5
12:59:38, 0.5
12:59:39, 0.5
12:59:40, 0.5
12:59:41, 0.5
12:59:42, 0.5
12:59:43, 0.5
12:59:44, 0.5
12:59:45, 0.5
12:59:46, 0.5
12:59:47, 0.5
12:59:48, 0.5
12:59:49, 0.5
12:59:50, 0.5
12:59:51, 0.5
12:59:52, 0.5
12:59:53, 0.5
12:59:54, 0.5
12:59:55, 0.5
12:59:56, 0.5
12:59:57, 0.5
12:59:58, 0.5
12:59:59, 0.5
13:00:00, 0.5
13:00:01, 0.5
13:00:02, 0.5
13:00:03, 0.5
13:00:04, 0.5
13:00:05, 0.5
13:00:06, 0.5
13:00:07, 0.5
13:00:08, 0.5
13:00:09, 0.5
13:00:10, 0.5
13:00:11, 0.5
13:00:12, 0.5
13:00:13, 0.5
13:00:14, 0.5
13:00:15, 0.5
13:00:16, 0.5
13:00:17, 0.5
13:00:18, 0.5
13:00:19, 0.5
13:00:20, 0.5
13:00:21, 0.5
13:00:22, 0.5
13:00:23, 0.5
13:00:24, 0.5
13:00:25, 0.5
13:00:26, 0.5
13:00:27, 0.5
13:00:28, 0.5
13:00:29, 0.5
13:00:30, 0.5
13:00:31, 0.5
13:00:32, 0.5
13:00:33, 0.5
13:00:34, 0.5
13:00:35, 0.5
13:00:36, 0.5
13:00:37, 0.5
13:00:38, 0.5
13:00:39, 0.5
13:00:40, 0.5
13:00:41, 0.5
13:00:42, 0.5
13:00:43, 0.5
13:00:44, 0.5
13:00:45, 0.5
13:00:46, 0.5
13:00:47, 0.5
13:00:48, 0.5
13:00:49, 0.5
13:00:50, 0.5
13:00:51, 0.5
13:00:52, 0.5
13:00:53, 0.5
13:00:54, 0.5
13:00:55, 0.5
13:00:56, 0.5
13:00:57, 0.5
13:00:58, 0.5
13:00:59, 0.5
13:01:00, 0.5
13:01:01, 0.5
13:01:02, 0.5
13:01:03, 0.5
13:01:04, 0.5
13:01:05, 0.5
13:01:06, 0.5
13:01:07, 0.5
13:01:08, 0.5
13:01:09, 0.5
13:01:10, 0.5
13:01:11, 0.5
13:01:12, 0.5
13:01:13, 0.5
13:01:14, 0.5
13:01:15, 0.5
13:01:16, 0.5
13:01:17, 0.5
13:01:18, 0.5
13:01:19, 0.5
13:01:20, 0.5
13:01:21, 0.5
13:01:22, 0.5
13:01:23, 0.5
